scenario_id,scenario_name,experiment_mode,what_this_environment_represents,best_strategy,why_it_won,what_students_should_learn,discussion_question_for_class
1,Baseline,calibrated,"Balanced demand, normal cost, and moderate technology pressure.",Balanced S&OP,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure.",Use this as the neutral reference case before introducing shocks.,Which strategy performs well without needing a special market advantage?
2,Picky Customers,calibrated,Customers are selective and punish poor quality or weak service.,Premium quality,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure.","Quality, service, and reputation can matter as much as price.",When does spending on QC become an investment rather than a cost?
3,Price Sensitive,calibrated,Buyers trade down and compare prices aggressively.,Low-cost volume,Low-cost volume found enough price-sensitive demand to offset its thinner margins and operating risk.,"Low prices only help if margins, defects, and inventory are controlled.",Which costs must a low-price team control before volume becomes profitable?
4,Tech Shift,calibrated,Customers move toward newer paddle technology generations.,Innovation leap,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile.",Innovation timing and product retirement become more important.,How early should a team invest before current products become obsolete?
5,Beginner Boom,calibrated,New players enter the market and beginner demand expands quickly.,Low-cost volume,Low-cost volume found enough price-sensitive demand to offset its thinner margins and operating risk.,Volume opportunities still require margin and capacity discipline.,Why might a high-volume team still lose money during a demand boom?
6,Premium Market,calibrated,Premium buyers expand and accept higher prices for quality and technology.,Premium quality,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost.",Premium positioning can work when demand supports margin and reputation.,What must a premium team do operationally to defend high prices?
7,Demand Recession,calibrated,Market demand contracts and growth turns negative.,Cash conservative,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure.",Forecast discipline and inventory control matter when demand shrinks.,Which teams were stuck with costs from plans made for a bigger market?
8,Demand Boom,calibrated,Demand grows quickly across the market.,Balanced S&OP,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile.","Growth creates opportunity but also capacity, inventory, and cash pressure.",Which constraint prevented teams from converting demand into profit?
9,Supply Shock,calibrated,Supply becomes unreliable and materials become more expensive.,Premium quality,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure.",Supplier mix and raw-material planning affect both service and defects.,"Did teams protect service by paying more, or protect cost by taking supply risk?"
10,Cost Inflation,calibrated,Input costs rise even without severe supply disruption.,Premium quality,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure.","Pricing, sourcing, and margin discipline become central.",Which teams protected gross margin without destroying demand?
11,Fast Lifecycle,calibrated,Products age quickly because customer expectations shift.,Innovation leap,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile.",Portfolio renewal and retirement timing become more important.,When should a team stop supporting a mature product and replace it?
12,Warranty Sensitive,calibrated,Defects become especially costly through reputation and warranty exposure.,Premium quality,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost.",Quality failures create financial and market consequences.,Which teams reduced defects enough to justify higher QC or supplier costs?
13,Price War,calibrated,Competitors chase price-sensitive beginner and mid-market buyers.,Low-cost volume,Low-cost volume found enough price-sensitive demand to offset its thinner margins and operating risk.,Winning volume is not the same as winning profit.,How much price pressure can a team absorb before the business breaks?
14,Inventory Risk,calibrated,Demand is weak and mistakes leave teams with costly inventory.,Cash conservative,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure.","Inventory can protect service, but excess inventory consumes cash.",Which inventories were strategic buffers and which were planning errors?
15,Capacity Constraint,calibrated,Demand is strong but operating constraints limit fulfillment.,Balanced S&OP,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile.","Capacity, overtime, and expansion choices must match demand and cash.",Which teams lost demand because they did not prepare capacity or materials?
16,Forecast Volatility,calibrated,"Demand swings around a trend, creating plan-vs-actual errors.",Balanced S&OP,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile.",S&OP discipline is tested when demand is not smooth.,How should teams plan when the forecast is directionally right but round demand swings?
17,Viral Demand,calibrated,A sudden late surge creates demand that was difficult to plan for.,Aggressive growth,"Aggressive growth captured demand upside, but the class should inspect whether expansion and debt made the result fragile.",Upside demand can still create lost sales if capacity and materials lag.,"Should teams build slack for upside demand, or protect cash and accept stockouts?"
18,Cash Crunch,calibrated,"Cash is stressed by weak demand, higher cost, and supply risk.",Cash conservative,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure.",Liquidity pressure can dominate attractive operating plans.,Which decisions created cash pressure before teams saw the market outcome?
19,Premium Expansion,calibrated,Premium and mid-tier demand expand together.,Premium quality,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost.","Teams can grow profitably if price, quality, and capacity scale together.",Which team scaled premium demand without sacrificing service or liquidity?
20,Unstable Market,calibrated,"Demand, costs, quality expectations, and supply risk are all volatile.",Cash conservative,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure.",Robust strategies survive better than fragile optimized plans.,Which strategy was most robust when several assumptions moved at once?
